marketplace,customer_id,review_id,product_id,product_parent,product_title,product_category,star_rating,helpful_votes,total_votes,vine,verified_purchase,review_headline,review_body,review_date
US,44148178,RJQPWZQV88RT7,B00SCRU5JO,37877,"EEEKit 9in1 Kit for Sony AS10/AS30/AS100/AS200,Ion Air Pro 2/3 Wifi Action Sport Camera,Bike/Helmet/Selfie Pole/Tripod/Car/Shoulder/Sun Visor/Wrist/Floaty Grip Mount",Camera,3,0,0,N,Y,there were a few useful items and other things i'll probably never use,"there were a few useful items and other things i'll probably never use. Bt considering the low price, the useful items seem well made and they make the package worthwhile.",8/29/2015
US,5052035,R11YNU0QCD9RQF,B0000C8817,42242,Sony DSC-F828 8MP Digital Camera with 7x Optical Zoom,Camera,2,0,2,N,Y,Two Stars,some functions are not working..!!,7/11/2014
US,5447357,R2N2WUJAF1JSG4,B0000C8817,42242,Sony DSC-F828 8MP Digital Camera with 7x Optical Zoom,Camera,5,0,0,N,Y,Five Stars,best camera I ever try,7/22/2014
US,14538997,RGBP5XNABHOKP,B0000C8817,42242,Sony DSC-F828 8MP Digital Camera with 7x Optical Zoom,Camera,5,4,4,N,Y,Captures problem colors,"My rating of the Sony F828 digital camera, ignoring  it's many features, is based on a it's ability to capture colors in a range that is beyond the capabilities of most cameras.<br /><br />We hybridize tropical waterlilies waterlilies and beardless Iris that can have flowers in the bluish pink, magenta, purple and reddish blue range that out two Nikon Cool Pix and Olympus C-765 couldn't capture. One of the Nikons did a fair job of capturing green and other than red side blue shades and the other did a fair job of capturing non bluish red shades through yellows. The Olympus sometimes was pretty good at capturing both ends of the color spectrum but was terrible in the problem range. In desperation I mounted paint color chips in the problem range on a piece of cardboard and my wife and I went to a Best Buy where a wide range of working digital cameras were on display and viewed the test board with each one. Some may have had color adjustments that we didn't try but without adjustment none seemed any better than our existing cameras and some were worse. In desperation I got my old Pentax K-1000 film camera out of storage and took pictures of the test card with it using Fujifilm 200 in various lighting conditions. The photos resulting, after rather expensive processing, were disappointing because all the colors seemed rather drab and the ones in the problem shades were not all that great.<br /><br />I had pretty much given up on capturing colors in the problem range when I came across a posting on line by a women who was having problems capturing the color of purple flowers but claimed that a friend, using a Sony F828 was able to capture and email photos with proper colors of purple flowers so Sony, having discontinued making them, we bought a used one.<br />Being winter, we have not been able to give the camera an extensive test photographing flowers but the shots of our test swatches and of a full range of Crayola Crayons has been impressive. The camera captured the problem colors on the test card pretty well and we could tweak individual colors by adjusting the color balance but it should be noted that adjusting for an individual color can throw other colors off a bit. In addition to capturing colors in the problem range pretty well, all 24 colors in photos, particularly those in the blue side red through purple range, of the Crayola crayons looked good.<br /><br />Some people will no doubt not appreciate the fact that the camera is big, heavy and cumbersome. Its definitely not one that can be slipped into a pocket or purse but it looks like it will do what we want.<br /><br />Charles Leach",12/23/2014
US,17167467,R3E86RM8HSC2G7,B0000C8817,42242,Sony DSC-F828 8MP Digital Camera with 7x Optical Zoom,Camera,5,1,1,N,N,Perfect Spy Camera,"Perfect Spy Camera.  This camera was the top of the line Cybershot when it came out on the market. It has a 4-color Super HAD CCD. The 4th color is emerald green.  The F828 does things that no other camera can do.  It can focus on the side of a basketball in total darkness using red lasers.  You can program it to search in Night Vision and then take the photo with the flash in normal program or auto in silent mode. The camera will switch automatically.  You will never take a out of focus photo.  The red laser beams freak some people out.  It looks like you are going to fire a gun at them. My wife and I both used these cameras for years. You only need to charge it one time for your vacation.  It uses the same battery as the video cameras a InfoLithium M, so it last a super long time. This camera is made to hold by the Carl Zeiss Lenses and then tilt the eyepiece and viewing screen up.  This is one of the best cameras every made. Sony has a new model, but you can love the F828.  Try to focus in total darkness with your new camera?  Sony needs to just remake the F828 with a CMOS sensor.",5/5/2015
US,19936615,R2FZ6SD44CKTGK,B0000C8817,42242,Sony DSC-F828 8MP Digital Camera with 7x Optical Zoom,Camera,5,0,0,N,Y,a good investment,"excellent, a good investment, money,",4/25/2015
US,22950089,R3M0ULHGO4KRLC,B0000C8817,42242,Sony DSC-F828 8MP Digital Camera with 7x Optical Zoom,Camera,5,2,2,N,Y,It is worth lugging around if you want great jpegs,"I purchased a 828 when they first came out and had a lot of success with making great<br />jpegs, but it was a point and shoot and could not capture some of the things I wanted<br />so I have several high end SLRs and they are the best, but for good still pictures<br />close the 828 is a great camera.<br />This one that I purchased from Amazon seems to be in good working order, I have made<br />some very good photos already and will keep it a long time. Thanks Jim<br />I now know why I kept the flash, tri pod with remote and a few other accessories<br />that I had purchased for the first 828",7/23/2013
US,23112762,R1IZT0U0OIZHNN,B0000C8817,42242,Sony DSC-F828 8MP Digital Camera with 7x Optical Zoom,Camera,5,0,0,N,Y,Five Stars,I like very much. ok,12/29/2014
US,27074759,R3Q0UQZXD3KYO,B0000C8817,42242,Sony DSC-F828 8MP Digital Camera with 7x Optical Zoom,Camera,5,0,0,N,Y,Five Stars,Great camera!,7/31/2015
US,33960232,R2P4KTHJOV1WLK,B0000C8817,42242,Sony DSC-F828 8MP Digital Camera with 7x Optical Zoom,Camera,5,0,0,N,N,Five Stars,Great camera,8/24/2014
US,34135453,RT7T1FVO583MK,B0000C8817,42242,Sony DSC-F828 8MP Digital Camera with 7x Optical Zoom,Camera,2,0,2,N,N,"Good Camera 10 years ago, Your phone likely takes better photos and video now.","I've owned a DSC F828 for 10 years. It still takes rather decent pictures when there is enough light. Reverse mounting a 50mm lens on the end makes for some interesting macro photos. I've made it through 100,000 actuations with mine so I have a fair idea what I'm talking about.<br /><br />But here's the kicker: Your cell phone likely takes better pictures and videos than this now. The video mode in this camera is terrible by todays standards, it's extremely noisy and only 640x480. Don't expect to shoot in RAW mode it's too slow and encrypted. Autofocus is terrible by today's standards manual focus is electronic and difficult to operate. The &#34;night mode&#34; is worthless and uses an IR beam from the flash.<br /><br />The time has passed invest in something better.",1/13/2014
US,34826413,R1GWL6MZF4OV07,B0000C8817,42242,Sony DSC-F828 8MP Digital Camera with 7x Optical Zoom,Camera,5,0,0,N,Y,in excellent conditions! I love it,"it cames just as described, in excellent conditions! I love it. It works very well.",2/13/2015
US,44528193,R3KBULL5JMIHFQ,B0000C8817,42242,Sony DSC-F828 8MP Digital Camera with 7x Optical Zoom,Camera,5,5,5,N,N,Really like the Night Shot,"I own and still use this camera almost every day for internet use.  While it isn't the fastest, or obviously not the newest or feature packed camera on the market, it is still one of my favorite cameras of all time.  It would be awesome if Sony would bring this back into their line with the upgraded features and technology of today.  The sensor they used back when this camera was produced required a lot of light.  Without a lot of light, you get really grainy images.  Other than the fact that this is old technology, maximum of 8MP, it has been a very stable camera and has never failed me.<br /><br />The neatest features includes night shot and night framing.  Night shot allows shooting video or stills in no light.  The camera emits an infrared ray light that allows for image capture.  It does produce a &#34;green&#34; image similar to b/w only with a heavy green overall tint.<br /><br />Night Framing allows for focusing in total darkness and then shoot still image with flash.<br /><br />Check out their A7S @ iso 409,600! While in another ball park cost wise, I saw a video made with this camera that made night look like dawn!<br /><br />I write reviews because I want to help other people make decisions.  I do not write reviews of items that I have not personally used.<br /><br />If this helped you, PLEASE click on the YES button below &#34;was this review helpful&#34;. Thank you. &#60;&#62;&#60;",5/14/2015
US,44546777,R3PBR51A52Q9GG,B0000C8817,42242,Sony DSC-F828 8MP Digital Camera with 7x Optical Zoom,Camera,5,3,3,N,N,"Still one of the best lens on ANY fixed lens digital camera, as good as or better than the latest RX10!","Owned this digital camera since 2005. This is a great camera and still takes excellent shots outdoors. The lens is an extremely flexible and bright F2.0 to F2.8, 28mm to 200mm even better than  the RX10 which is F2.8 max aperture. Indoors in dim light the picture is a bit grainy when push to higher ISO, but still acceptable. I think the RX10 is the only fixed lens camera that has a lens that is comparable to the F828. When it is time to upgrade, I will switch to the RX10. For now, the F828 is still a dependable workhorse that churns out excellent photographs.<br /><br />To the previous reviewer, to compare this to a cell phone camera is a real disgrace. I have the Samsung Galaxy Note 3 with a 13Megapixel camera, the picture can not hold a candle to the F828. Factoring the 7x Zoom, the F828 is a truly versatile camera.<br /><br />However, don't ever use this camera for video. It is terrible and SD only.<br /><br />Overall, 5 stars for reliable operation, longevity and aging gracefully!",2/1/2014
US,50320921,R2BNNFEJNF74RS,B0000C8817,42242,Sony DSC-F828 8MP Digital Camera with 7x Optical Zoom,Camera,5,1,1,N,Y,very good,The camera is in good shape. All possible accesories are included. very good performance. I'm verry hapy with this deal.,2/28/2014
US,51684223,R3IL7P3DAXY9RA,B0000C8817,42242,Sony DSC-F828 8MP Digital Camera with 7x Optical Zoom,Camera,3,1,1,N,Y,Disappointing,"I bought it used.  The night-shot function never worked.  Otherwise it is a fine camera, but I particularly wanted the night shot function, and my other cameras work just as well for the other functions.  The zoom factor is so small  it  might as well not be there.  If I had bought this camera new, it would probably have worked fine, but it was out of production. I bought another camera for my general use, and it is so good, I don't use the Sony anymore at all.",4/19/2015
US,52621680,R3970H9OQKNRFX,B0000C8817,42242,Sony DSC-F828 8MP Digital Camera with 7x Optical Zoom,Camera,5,6,6,N,Y,Replacing a beloved camera,"This camera I purchased in 2003 and was stolen in a home burglary.  Although there are newer, shinier, faster, bigger cameras, I loved this camera and replaced it.  The item I received was brand new, in better shape than the stolen one!  The pictures are sharp, and when I took a photography class, the instructor said this was the best camera in the room.  I'm a point & shoot photographer, but it was nice to hear.",9/16/2013
US,27853062,R3TIOUZLDG197A,B00JI0SUTQ,43980,Zomei┬« Ultra Slim AGC Optical Glass PRO CPL Circular Polarizing Polarizer Lens Filter - 67mm,Camera,5,0,1,N,Y,Great wide angle.,"Excellent, only the tiniest hint of vignetting with a 28mm wide angle; if you weren't looking for it you would probably miss it.  I can live with that any day.",4/23/2015
US,27880157,R1WMIRIRLB1BYT,B00JI0SUTQ,43980,Zomei┬« Ultra Slim AGC Optical Glass PRO CPL Circular Polarizing Polarizer Lens Filter - 67mm,Camera,5,1,2,N,Y,Thin product slim price,Very slim.  No vignetting when used with Canon filter adapter.,7/15/2015
US,33545552,R16DQA39YIS3YA,B00JI0SUTQ,43980,Zomei┬« Ultra Slim AGC Optical Glass PRO CPL Circular Polarizing Polarizer Lens Filter - 67mm,Camera,5,0,1,N,Y,Five Stars,Excellent fit and smooth operation,8/29/2015
US,23745500,R2F3NTDD8OPAN0,B00QT0KYK6,61262,"Viltrox Mount Adapter for Canon EOS M, EOS M2 Compact System Digital Camera and Canon EF, EF-S Lenses (Replacement for Canon EF-EOS M Mount Adapter)",Camera,4,0,0,N,Y,"Good, Solid Stuff but GAUDY...","Shipped fast (within 1 week)  Packed very well.  Nice finish and solid metal construction... Works just fine with my lenses.  One con so far.. Waaay too much ink (White type-labels) on the barrel.  It's gaudy and distracting.. pro-sumer gear shouldn't need draw attention to itself.. prob. go over it with a black sharpie, but then that would look ghetto, right?",4/9/2015
US,11274640,R2UN9B5FAW59YL,B000FUJD62,63216,Pelican 1121 3-Piece Foam Set,Camera,5,0,0,N,Y,Pick and pluck is perfect for those OCD organizers like myself,Fits my 1121 pelican perfectly. Pick and pluck is perfect for those OCD organizers like myself :),8/26/2014
US,15469277,R3QE49MLC4GS2S,B000FUJD62,63216,Pelican 1121 3-Piece Foam Set,Camera,5,1,1,N,Y,Works great - highly recommended!,Bought this foam to help keep my camera safe in our new pelican case.  (We bought the Pelican 1060 case and use chunks from this foam set to keep our camera secure - we picked this set simply because we didn't need much foam and this item was cheaper than the foam insert specifically sold for the 1060 case.) Easy to separate the foam to get the exact size specs that you are looking for.,12/14/2014
US,19190568,R1KEZZNQEEE50P,B000FUJD62,63216,Pelican 1121 3-Piece Foam Set,Camera,5,1,1,N,Y,Got what I wanted for the best price.,Got what I wanted and fit perfect in the box. Great replacement and look like the original. Very good product,4/16/2015
US,23150001,R23TNX3K68DFM9,B000FUJD62,63216,Pelican 1121 3-Piece Foam Set,Camera,5,2,2,N,Y,Pelican 1120 Case Foam,I had the foam for a larger Pelican case that I could have used but am happy that I ordered the foam for this specific case. The 1120 is a smaller case and the foam that is made for it has smaller pluck pieces so that you can make more detailed compartments for the smaller items that would be stored in this case.,1/20/2014
US,23854823,R3BCLB33JF43CN,B000FUJD62,63216,Pelican 1121 3-Piece Foam Set,Camera,4,1,1,N,Y,Perfect for what I need it it for,"I purchased it to pad my Bulldog vault handgun safe when I was going to take a plane to KY.  This product kept my gun safe, secure, scratch free,  The only complaint I have is that it was too expensive for the amount of product I got.",4/7/2014
US,24983433,R3JS92CECHOA2Z,B000FUJD62,63216,Pelican 1121 3-Piece Foam Set,Camera,5,0,0,N,N,Pelican case replacement foam,I had bought a case without foam. This is Pelican factory replacement foam. Top quality!,8/17/2014
US,25350283,R186MEJK1ZPR8B,B000FUJD62,63216,Pelican 1121 3-Piece Foam Set,Camera,1,1,1,N,Y,i didnt order swiss cheese i ordered foam,This stuff arrived in pieces like someone used it and sent it back i was so upset i threw it away and asked for a refund not a good value and no dimensional sizes,3/10/2015
US,27546908,R37W691JA8QBE7,B000FUJD62,63216,Pelican 1121 3-Piece Foam Set,Camera,4,0,0,N,Y,Four Stars,A little expensive for what it is but works.,2/11/2015
US,39496301,R3254P946HH1RB,B000FUJD62,63216,Pelican 1121 3-Piece Foam Set,Camera,5,0,0,N,Y,Great,Great product. Came on time and was just what I ordered. Perfect fit. Very happy with this purchase. I would order this product again or recomend to a friend.,9/24/2013
US,39585075,R1CF9KGLVTH1CZ,B000FUJD62,63216,Pelican 1121 3-Piece Foam Set,Camera,5,0,1,N,Y,Great foam for a great box.,"Did what it had too. Pick N Pluck in my experience is annoying. I'd rather make perfect cut-outs with a blade than pixel cut outs. Other than that, it's great.",3/3/2014
US,43225212,R3GDOCKCVG931W,B000FUJD62,63216,Pelican 1121 3-Piece Foam Set,Camera,5,0,0,N,Y,Five Stars,Worked great!,6/3/2015
US,50175086,R3MV2B3AJRQ21F,B000FUJD62,63216,Pelican 1121 3-Piece Foam Set,Camera,2,0,0,N,Y,bad run of foam making.,"this foam is nothing like you get when you buy new set  that comes with an actual box.  This one has very coarse, large air pocket, foam.  The one I got previously in original box was softer with smaller air pocket foam.  I don't know whether Amazon got old stock of it.  Or it was just another, non eventful run of defective foam making at pelican facility, but this foam is just bad.",3/11/2015
US,52201756,R3SLQXTMEUAZOO,B000FUJD62,63216,Pelican 1121 3-Piece Foam Set,Camera,5,0,0,N,Y,Just as good as the original,This replacement foam is the same quality as the original. This stuff is nice and fresh.<br />My old foam was worn and getting hard and crispy. Glad to get rid of it and replace it with fresh.<br />Makes my Pelican box like new again!!!,3/4/2014
US,52957871,R1SX7NIVFT8QRN,B000FUJD62,63216,Pelican 1121 3-Piece Foam Set,Camera,5,2,2,N,Y,Foam-tastic,"I have a pair of 2.5x Designs For Vision surgical loupes that I bought in 1995.  The loupes are in great shape, but the foam padding in the case is not.  Over 18 years, it has dried out and sheds tiny green particles that stick to my loupes, which have to be cleaned off every time I use them.  This Pick N Pluck foam was a perfect replacement. I have a wooden loupes case, with interior dimensions of roughly 7\\"" x 3.5\\"", and about 3\\"" deep.  The thick foam block is just slightly larger than the loupes case in depth (\\""top to bottom\\"") and transverse (\\""side-to-side\\"") width; I did not trim it in these dimensions, because slightly overstuffing the case prevents the foam from dislodging (I also used a couple drops of glue). The foam is easily trimmed with a #10 scalpel blade to fit the front-to-back dimension (that is, from the hinged \\""back\\"" of the case to the \\""front\\"" with the clasp).  The eggcrate-shaped foam sheet can then be trimmed to fit in the lid of the case.  I did not use the third, flat sheet of foam.  The foam is pre-scored in small blocks, so a custom-shaped cavity for the loupes can be carved out using an Adson forceps and a #10 blade to dissect along the existing planes.",2/9/2014
US,11449183,RXCSZVDCCL0F0,B005S8OO7O,80867,"Fujifilm Fujichrome Provia RDP III 100F Color Slide Film ISO 100, 4x5&quot;, 20 Sheets, Transparency",Camera,5,1,1,N,Y,Five Stars,"This film is a joy to shoot. I highly recommend, the saturation on the color is amazing.",12/8/2014
US,45399271,RDN8Q0RWHADJH,B005S8OO7O,80867,"Fujifilm Fujichrome Provia RDP III 100F Color Slide Film ISO 100, 4x5&quot;, 20 Sheets, Transparency",Camera,5,0,1,N,Y,Five Stars,excellent thanks!,8/25/2014
US,11949109,R25ZD83YMQZIOX,B00C7OT10W,85925,28''70cm Mechanical Locking Camera Shutter Release Remote Control Cable Cord New,Camera,5,0,0,N,Y,"Medium/Short 28"" Shutter Release and it works...",It works and quality is good!,1/14/2015
US,26404889,R12JFBFE64FFUL,B000A2LA70,88837,Lowepro CompuRover AW Camera Bag (Black),Camera,5,0,0,N,Y,... SAFELY carry all of your electronics and cameras with easy access to them all,"very large bag allows you to SAFELY carry all of your electronics and cameras with easy access to them all. would like to have another section for cords and chargers and personal stuff, but other than that, the bag rocks. it even has its own rain jacket for bad weather use! so cool!",2/10/2015
US,23634517,R35SD1AD13UFRO,B008BBKD20,103169,Fotodiox Circular Polarizer (CPL) Filter - 39mm,Camera,4,0,0,N,Y,Fotodiox is inexpensive and reliable stuff,"Works, doesn't degrade images.  Fotodiox is inexpensive but reliable stuff",6/11/2015
US,46766265,R2EI8HMM9UKKBL,B008BBKD20,103169,Fotodiox Circular Polarizer (CPL) Filter - 39mm,Camera,5,0,0,N,Y,Great deal,Worked well.  Better than I expected for this price.,7/22/2015
US,702176,R1CE3PQ7XXPC0I,B00J9RO4Y8,121263,GoPro Blackout Housing,Camera,1,0,0,N,Y,Not impressed.,"Don't like the latch, it's been cheapened. Doesn't lock like the original. The lens isn't screwed on. A lower quality product than the original.",5/6/2015
US,867647,R26UUA24LMTN9P,B00J9RO4Y8,121263,GoPro Blackout Housing,Camera,5,0,0,N,Y,Five Stars,Great product,4/23/2015
US,995666,R30EIVHJYY9XSG,B00J9RO4Y8,121263,GoPro Blackout Housing,Camera,5,0,0,N,Y,Awesome,Authentic product at half the price! comes with original go pro packaging and includes two backdoors.,3/9/2015
US,1000029,R3GT2798FZBX0V,B00J9RO4Y8,121263,GoPro Blackout Housing,Camera,5,0,0,N,Y,Five Stars,Looks so sexy!,6/12/2015
US,1162880,R6RAP8Z06XPD8,B00J9RO4Y8,121263,GoPro Blackout Housing,Camera,5,0,0,N,Y,Five Stars,Really cool looking housing. Came fast in the mail and comes with 2 other back doors. Would recommend!!,6/18/2015
US,1214235,R1G7BDWMOBF5DD,B00J9RO4Y8,121263,GoPro Blackout Housing,Camera,4,0,0,N,Y,Four Stars,Fits my Hero 4 Perfectly :),3/15/2015
US,1311638,R2GGREHT3AFC7N,B00J9RO4Y8,121263,GoPro Blackout Housing,Camera,5,0,0,N,Y,Five Stars,Great product,4/16/2015
US,1638576,RYY0OMXTD9S4M,B00J9RO4Y8,121263,GoPro Blackout Housing,Camera,5,0,0,N,Y,Five Stars,excelete,8/17/2015
US,1709656,R37AWX7KFU6FD8,B00J9RO4Y8,121263,GoPro Blackout Housing,Camera,5,0,1,N,Y,Five Stars,A+,10/13/2014
US,1730682,R94EIAHVMSOY8,B00J9RO4Y8,121263,GoPro Blackout Housing,Camera,5,0,0,N,Y,Five Stars,"Awesome! Great fit, excellent in the water :) all friends think it looks amazing :)",1/4/2015
US,1732096,R3ORYWQFPBP07E,B00J9RO4Y8,121263,GoPro Blackout Housing,Camera,5,0,0,N,Y,"Flat black, stealthy","I love the new buttons, case is tough and stealthy.",1/29/2015
US,1968276,R1EQFR6C9MLCL6,B00J9RO4Y8,121263,GoPro Blackout Housing,Camera,3,1,1,N,Y,Three Stars,back door kind of jams...,8/10/2014
US,2224489,R3PDIWIGFS0KVT,B00J9RO4Y8,121263,GoPro Blackout Housing,Camera,5,0,0,N,Y,Five Stars,FAST SHIPPING GREAT PRODUCT .,2/2/2015
US,2396535,R3HY80XL3K9YM3,B00J9RO4Y8,121263,GoPro Blackout Housing,Camera,4,0,0,N,Y,Four Stars,Love the black out look very stealth,10/11/2014
US,2811956,R3OENPOHNWN5Z9,B00J9RO4Y8,121263,GoPro Blackout Housing,Camera,4,0,0,N,Y,cool,"I like it so much, the gopro looks extremely cool in it, i can mounted anywhere and less people would notice it...the downside is i cant see the flashing red light or the wifi light, so i have to look at the screen more often",4/27/2015
US,2978469,R1SIL5QR49RGTR,B00J9RO4Y8,121263,GoPro Blackout Housing,Camera,3,1,2,N,Y,Doesn't have the. hole to see if the Wi-Fi ...,Doesn't have the.hole to see if the Wi-Fi  is on...,2/15/2015
US,3051919,R2VZIGLW0IDLWZ,B00J9RO4Y8,121263,GoPro Blackout Housing,Camera,5,0,0,N,Y,Looks great and does everything its supposed to,Got this because i broke my original case.  Looks great and does everything its supposed to.  And i have taken it to around 100 ft under water.  The one bad thing is that the black makes it to where u wouldnt be able to tell if the case was leaking.,7/13/2015
US,3057921,R17A28G6LZGASQ,B00J9RO4Y8,121263,GoPro Blackout Housing,Camera,5,0,0,N,Y,Five Stars,I LOVE HOW MY GO PRO FIT AND SEEN..,8/26/2014
US,3261152,R3JE67V236HOPK,B00J9RO4Y8,121263,GoPro Blackout Housing,Camera,5,19,28,N,N,"The only thing left that is ""clear..."" once you GoPro Black you might not GoPro Back!","I own this product and I am very pleased with the NEW GoPro Blackout Housing. It looks very stealthy and adds a low-profile to your GoPro camera. The NEW GoPro Blackout Housing is waterproof to 131'/40m where the clear version is waterproof to 197'/60m, but the stealthy low-profile is the primary product attribute, rather than its waterproof ability. The GoPro Blackout Housing would be a likely choice for outdoor enthusiasts, military, law enforcement, or anyone who simply prefers a more subdued appearance, while still tough enough to defend from the elements. I rate this product 5-stars for its GoPro quality that has become a reliable standard, its useful functionality, and its awesome matte black appearance. In my opinion, the only thing left that is &#34;clear...&#34; once you GoPro Black you might not GoPro Back!",4/2/2014
US,4382911,RFXXT5S9QKJH3,B00J9RO4Y8,121263,GoPro Blackout Housing,Camera,5,0,0,N,Y,Five Stars,Everything ok,3/30/2015
US,4447052,RNDBBEHGZKQXT,B00J9RO4Y8,121263,GoPro Blackout Housing,Camera,5,0,0,N,Y,Great product for the price,Great blackout housing for the price! Fits Gopro hero 4s,2/28/2015
US,4840550,R1JAPCN1G83RX7,B00J9RO4Y8,121263,GoPro Blackout Housing,Camera,5,0,0,N,Y,Five Stars,Amazing,2/1/2015
US,4908783,R2WVKGZXG85H42,B00J9RO4Y8,121263,GoPro Blackout Housing,Camera,5,0,0,N,Y,Five Stars,"Absolutely necessary for night time filming, worked perfectly",4/5/2015
US,5190115,R1FAPLTD0OLB0H,B00J9RO4Y8,121263,GoPro Blackout Housing,Camera,5,1,1,N,Y,Fantastic !!,"For the first time used I very impressed with the new Black matte slate, it's matching with my Jaws clamp mount and lastly i in love with these black housing .",6/10/2014
US,6025441,R1NOF8MSZ6T0TV,B00J9RO4Y8,121263,GoPro Blackout Housing,Camera,5,0,1,N,Y,Five Stars,Really nice,7/30/2014
US,6162812,R2XW0T6X2GV9XQ,B00J9RO4Y8,121263,GoPro Blackout Housing,Camera,5,0,0,N,Y,Five Stars,Awesome!!!!!,9/2/2014
US,6194662,R3QI94U758I7OK,B00J9RO4Y8,121263,GoPro Blackout Housing,Camera,5,0,0,N,Y,Five Stars,Fantastic product!,3/22/2015
US,6395184,R156VKX4R0WOGO,B00J9RO4Y8,121263,GoPro Blackout Housing,Camera,5,0,0,N,N,Five Stars,now i can shoot in crowds/partys without problems!,9/2/2014
US,6471013,RDFER07ONBBTM,B00J9RO4Y8,121263,GoPro Blackout Housing,Camera,5,0,0,N,Y,Five Stars,could not ask for a better housing!,5/26/2014
US,8365888,R1LY6SFJJYC7KG,B00J9RO4Y8,121263,GoPro Blackout Housing,Camera,5,0,0,N,Y,Five Stars,Make your GoPro hero3 look amazing,3/29/2015
US,8407861,R36RQ8ZPUZFBUM,B00J9RO4Y8,121263,GoPro Blackout Housing,Camera,5,0,0,N,Y,Five Stars,100% Recomended,3/24/2015
US,8679650,R1XDL7NDLF8ZHA,B00J9RO4Y8,121263,GoPro Blackout Housing,Camera,5,0,0,N,Y,Five Stars,Loved the price and is came so fast great customer service thank you,5/18/2015
US,8716103,R1K36K7WC1LJCH,B00J9RO4Y8,121263,GoPro Blackout Housing,Camera,5,0,0,N,N,This case is amazing. As a bow hunter it worked great for ...,This case is amazing. As a bow hunter it worked great for recording my hunt. I was afraid at first because elk notice anything they never knew I was there this case is great. I would suggest this case over the skin covers that are on the market.,9/29/2014
